22:01:59  |  Core  |  Info  |  * Initialise: LayoutManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  45
22:01:59  |  Core  |  Info  |  LayoutManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  50
22:01:59  |  Core  |  Info  |  * Initialise: DynLibManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  41
22:01:59  |  Core  |  Info  |  DynLibManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  45
22:01:59  |  Core  |  Info  |  * Initialise: PluginManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  45
22:01:59  |  Core  |  Info  |  PluginManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  49
22:01:59  |  Core  |  Info  |  * Initialise: LanguageManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  45
22:01:59  |  Core  |  Info  |  LanguageManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  49
22:01:59  |  Core  |  Info  |  * Initialise: FactoryManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  40
22:01:59  |  Core  |  Info  |  FactoryManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  42
22:01:59  |  Core  |  Info  |  * Initialise: ToolTipManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  48
22:01:59  |  Core  |  Info  |  ToolTipManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  60
22:01:59  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:01:59  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont.15' using texture size 128 x 256.  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  674
22:01:59  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont.15' using real height 17 pixels.  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  675
22:01:59  |  Core  |  Info  |  Load ini file 'MyGUI_Images.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:01:59  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:01:59  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  238
22:01:59  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  239
